date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:50:40	47829/47829	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202025%2010:20:39%20GMT	https://www.mykhana.in/chinese-catering-services-in-bangalore	/home/sid_221/websites/catering/www.mykhana.in/chinese-catering-services-in-bangalore.html	(from https://www.mykhana.in/)
15:50:41	47662/47662	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202025%2010:20:40%20GMT	https://www.mykhana.in/veg-food-catering-services-in-bangalore	/home/sid_221/websites/catering/www.mykhana.in/veg-food-catering-services-in-bangalore.html	(from https://www.mykhana.in/)
15:50:42	47663/47663	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202025%2010:20:41%20GMT	https://www.mykhana.in/non-veg-catering-services-in-bangalore	/home/sid_221/websites/catering/www.mykhana.in/non-veg-catering-services-in-bangalore.html	(from https://www.mykhana.in/)
15:50:43	47837/47837	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202025%2010:20:42%20GMT	https://www.mykhana.in/breakfast-catering-services-in-bangalore	/home/sid_221/websites/catering/www.mykhana.in/breakfast-catering-services-in-bangalore.html	(from https://www.mykhana.in/)
15:50:44	47820/47820	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202025%2010:20:43%20GMT	https://www.mykhana.in/lunch-catering-services-in-bangalore	/home/sid_221/websites/catering/www.mykhana.in/lunch-catering-services-in-bangalore.html	(from https://www.mykhana.in/)
15:50:45	47825/47825	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202025%2010:20:44%20GMT	https://www.mykhana.in/dinner-catering-services-in-bangalore	/home/sid_221/websites/catering/www.mykhana.in/dinner-catering-services-in-bangalore.html	(from https://www.mykhana.in/)
15:50:46	29170/29170	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202025%2010:20:45%20GMT	https://www.mykhana.in/terms.php	/home/sid_221/websites/catering/www.mykhana.in/terms.html	(from https://www.mykhana.in/)
15:50:46	28008/28008	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202025%2010:20:46%20GMT	https://www.mykhana.in/refundpolicy.php	/home/sid_221/websites/catering/www.mykhana.in/refundpolicy.html	(from https://www.mykhana.in/)
15:50:48	36954/36954	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202025%2010:20:47%20GMT	https://www.mykhana.in/privacypolicy.php	/home/sid_221/websites/catering/www.mykhana.in/privacypolicy.html	(from https://www.mykhana.in/)
15:50:49	27184/27184	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202025%2010:20:48%20GMT	https://www.mykhana.in/pricingpolicy.php	/home/sid_221/websites/catering/www.mykhana.in/pricingpolicy.html	(from https://www.mykhana.in/)
15:50:49	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267991366-4d7%22	https://www.mykhana.in/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	/home/sid_221/websites/catering/www.mykhana.in/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://www.mykhana.in/)
15:50:50	97163/97163	---M-Z	200	added ('OK')	application/javascript	etag:%2217b8b-610b694c08080-gzip%22	https://www.mykhana.in/js/jquery.min.js	/home/sid_221/websites/catering/www.mykhana.in/js/jquery.min.js	(from https://www.mykhana.in/)
15:50:51	20494/20494	---M-Z	200	added ('OK')	application/javascript	etag:%22500e-610b694c08080-gzip%22	https://www.mykhana.in/js/popper.min.js	/home/sid_221/websites/catering/www.mykhana.in/js/popper.min.js	(from https://www.mykhana.in/)
15:50:52	50731/50731	---M-Z	200	added ('OK')	application/javascript	etag:%22c62b-610b694c08080-gzip%22	https://www.mykhana.in/js/bootstrap.min.js	/home/sid_221/websites/catering/www.mykhana.in/js/bootstrap.min.js	(from https://www.mykhana.in/)
15:50:53	40401/40401	---M-Z	200	added ('OK')	application/javascript	etag:%229dd1-610b694c08080-gzip%22	https://www.mykhana.in/js/owl.carousel.min.js	/home/sid_221/websites/catering/www.mykhana.in/js/owl.carousel.min.js	(from https://www.mykhana.in/)
15:50:54	6299/6299	---M-Z	200	added ('OK')	application/javascript	etag:%22189b-610b694c08080-gzip%22	https://www.mykhana.in/js/wow.js	/home/sid_221/websites/catering/www.mykhana.in/js/wow.js	(from https://www.mykhana.in/)
15:50:55	24601/24601	---M-Z	200	added ('OK')	application/javascript	etag:%226019-610b694b13e40-gzip%22	https://www.mykhana.in/js/jquery.validate.min.js	/home/sid_221/websites/catering/www.mykhana.in/js/jquery.validate.min.js	(from https://www.mykhana.in/)
